#TYPE System.Management.Automation.PSCustomObject
"id","checkItemStates","closed","dateLastActivity","desc","descData","idBoard","idList","idMembersVoted","idShort","idAttachmentCover","manualCoverAttachment","idLabels","name","pos","shortLink","badges","dueComplete","due","idChecklists","idMembers","labels","shortUrl","subscribed","url","CreatedDate","Members","BoardName","ListName"
"57c5e3223406705902866d8e",,"False","2016-08-31T16:11:42.734Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","1",,"False","System.Object[]","KeyPayment: SQLSVR","65535","FeJfEcdL","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/FeJfEcdL","False","https://trello.com/c/FeJfEcdL/1-keypayment-sqlsvr","8/30/2016 7:48:50 PM","","BI - Reporting Needs","Data Sources"
"57c5e32c0216d9785105426f",,"False","2016-08-31T16:11:49.890Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","2",,"False","System.Object[]","McLeod: SQLSVR","131071","xp56yNxX","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/xp56yNxX","False","https://trello.com/c/xp56yNxX/2-mcleod-sqlsvr","8/30/2016 7:49:00 PM","","BI - Reporting Needs","Data Sources"
"57d02d710ada280373591fc0",,"False","2016-09-07T15:08:50.938Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","38",,"False","System.Object[]","PC Miler (add to data records)","147455","dM7QKgZq","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/dM7QKgZq","False","https://trello.com/c/dM7QKgZq/38-pc-miler-add-to-data-records","9/7/2016 3:08:33 PM","","BI - Reporting Needs","Data Sources"
"57c5e3ad4288fb8ae56b4304",,"False","2016-08-31T16:11:53.575Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","9",,"False","System.Object[]","CustomerCarrier: SQLSVR","163839","hhxhcKZF","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/hhxhcKZF","False","https://trello.com/c/hhxhcKZF/9-customercarrier-sqlsvr","8/30/2016 7:51:09 PM","","BI - Reporting Needs","Data Sources"
"57c5e336ba2bee69a0e39633",,"False","2016-08-31T16:11:56.829Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","3",,"False","System.Object[]","KSX: SQLSVR","196607","mrk6qsEw","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/mrk6qsEw","False","https://trello.com/c/mrk6qsEw/3-ksx-sqlsvr","8/30/2016 7:49:10 PM","","BI - Reporting Needs","Data Sources"
"57c5f10a7270b510f21d90ef",,"False","2016-08-31T16:12:00.527Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","29",,"False","System.Object[]","Desktop Reporting Tool: SQLSVR","249855","0NN8GQiL","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/0NN8GQiL","False","https://trello.com/c/0NN8GQiL/29-desktop-reporting-tool-sqlsvr","8/30/2016 8:48:10 PM","","BI - Reporting Needs","Data Sources"
"57c5eb1250c8e4dd50e38312",,"False","2016-08-31T16:12:04.804Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","28",,"False","System.Object[]","MyShipments: SQLSVR","303103","NbhskLRd","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/NbhskLRd","False","https://trello.com/c/NbhskLRd/28-myshipments-sqlsvr","8/30/2016 8:22:42 PM","","BI - Reporting Needs","Data Sources"
"57c5e348e5b939778cc8da1e",,"False","2016-08-31T16:12:12.455Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","5",,"False","System.Object[]","KeyQuote: SQLSVR","409599","ovNFgl8A","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/ovNFgl8A","False","https://trello.com/c/ovNFgl8A/5-keyquote-sqlsvr","8/30/2016 7:49:28 PM","","BI - Reporting Needs","Data Sources"
"57c5e33efb206d4be5d479e4",,"False","2016-08-31T16:12:24.669Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","4",,"False","System.Object[]","VICS History: SQLSVR","425983","wqJjPJ94","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/wqJjPJ94","False","https://trello.com/c/wqJjPJ94/4-vics-history-sqlsvr","8/30/2016 7:49:18 PM","","BI - Reporting Needs","Data Sources"
"57c5e351a670526fd38f6015",,"False","2016-08-31T16:12:33.033Z","",,"57c5e2ef602c6e46bb08afa7","57c5e3031057b5c7e2d02cf9","System.Object[]","7",,"False","System.Object[]","Find Rates History: SQLSVR","434175","FMBE65ok","@{votes=0; viewingMemberVoted=False; subscribed=False; fogbugz=; checkItems=0; checkItemsChecked=0; comments=0; attachments=0; description=False; due=; dueComplete=False}","False",,"System.Object[]","System.Object[]","System.Object[]","https://trello.com/c/FMBE65ok","False","https://trello.com/c/FMBE65ok/7-find-rates-history-sqlsvr","8/30/2016 7:49:37 PM","","BI - Reporting Needs","Data Sources"
